"Horizontal flame spread rate S_h (mm/s)(Opposed airflow speed V_g (cm/s)), created by Plot Digitizer, 2.6.8"
"Date: 2/12/19, 2:51:06 PM"


12
Opposed airflow speed V_g (cm/s),Horizontal flame spread rate S_h (mm/s)
0.112913,0.619340,
14.3400,0.544203,
23.5668,0.533307,
31.8056,0.480069,
42.2817,0.456641,
54.2471,0.463017,
65.9648,0.461551,
76.4350,0.464778,
99.8720,0.455575,
124.814,0.405618,
149.000,0.391717,
160.236,0.311849,
