"Horizontal flame spread rate S_h (mm/s)(Opposed airflow speed V_g (cm/s)), created by Plot Digitizer, 2.6.8"
"Date: 2/12/19, 2:52:23 PM"


11
Opposed airflow speed V_g (cm/s),Horizontal flame spread rate S_h (mm/s)
0.134322,0.522128,
14.1114,0.450124,
23.8399,0.425121,
31.5719,0.409509,
41.5517,0.375101,
54.0192,0.365802,
65.9752,0.414513,
75.7009,0.402054,
99.8813,0.413240,
125.329,0.331929,
149.297,0.175343,
