"Horizontal flame spread rate S_h (mm/s)(Opposed airflow speed V_g (cm/s)), created by Plot Digitizer, 2.6.8"
"Date: 2/12/19, 2:53:36 PM"


11
Opposed airflow speed V_g (cm/s),Horizontal flame spread rate S_h (mm/s)
0,0.484495,
13.6418,0.318412,
24.1210,0.280873,
32.3560,0.244882,
42.5773,0.246539,
54.2964,0.238801,
66.0177,0.221656,
75.9948,0.199791,
99.4365,0.168637,
125.121,0.142205,
148.807,0.136140,
